query,expected_output
What are the requirements for the Computer Science Major,"The B.S. in computer science requires a minimum of 120 hours, distributed as follows:
1. Mathematics (17-19 hours). Required components:
a. Calculus/Linear algebra (14–16 hours). A sequence selected from the following:
i. MATH 1300, 1301, 2300, and one of 2410 or 2600, or
ii. MATH 1300, 1301, 2500, 2501
b. Statistics/Probability (3 hours): MATH 2810, 2820, or 3640.
2. Science (12 hours). To be selected from the following list and include at least one laboratory course: BSCI 1100, 1100L, 1510, 1510L, 1511, 1511L, 2218, 2219; CHEM 1601, 1601L, 1602, 1602L; EES 1510, 1510L; MSE 1500, 1500L; PHYS 1601, 1601L, 1602, 1602L. Advanced Science Courses may be substituted by special
Page 203 of 1019
permission. Recommended: CHEM 1601, 1601L; PHYS 1601, 1602.
3. Introduction to Engineering (3 hours): ES 1401, 1402, 1403.
4. Liberal Arts Core (18 hours). To be selected to fulfill the Liberal Arts Core requirements listed in the Degree
Programs in Engineering.
5. Computer Science Core (25 hours).
Software/Problem Solving: CS 1101 or 1104, and CS 2201, 3251, 3270. Hardware/Systems: CS or ECE 2281, CS or ECE 2281L, CS 3281. Foundations: CS 2212, 3250.
6. Computer Science Depth (15 hours). To be selected from computer science courses numbered 3000 or higher (except CS 3262); ECE 4353, 4354, 4375, and no more than two from MATH 3320, 3620, 4600, 4620. A maximum of 6 hours may come from CS 3860, 3861.
7. Computer Science Project (3 hours). To be selected from CS 3862, 3892, 4239, 4249, 4269, 4279, 4287, 4289, 4359.
8. Computer Science Seminar (1 hour). CS 4959.
9. Technical Electives (6 hours). To be selected from courses numbered 2000 or higher within the School of
Engineering (except 2860 in any program, ENGM 2440, ENGM 4800, ES 2700, ES 3884, and CS courses numbered below 3000); or courses numbered 2000 or higher in the College of Arts and Science listed in the mathematics and natural science (MNS) AXLE distribution requirements.
10. Open Electives (18–20 hours).
11. Computers and Ethics (3 hours) CS 1151. May be used to satisfy three hours from the Liberal Arts Core (#4)
or Open Electives (#10). May not be taken on a pass/fail grading basis by CS majors or minors.
12. Writing Component (3 hours). At least one “W”-designated course or 1111 course in the English Language
must be included from the Liberal Arts Core (#4), Technical Electives (#9), or Open Electives (#10).
Undergraduates in computer science may apply the pass/fail option only to courses taken as open electives, technical electives, or part of the liberal arts core, subject to the school requirements for pass/fail."
"What is the AXLE curriculum, and how does it apply to students in the College of Arts and Science?","AXLE (Achieving eXcellence in Liberal Education) is the general education curriculum for the College of Arts and Science. It is designed to provide students with a broad foundation of knowledge while allowing flexibility to explore their academic interests. The curriculum includes:

First-Year Writing Seminar (FYW): Required course in the first year
Writing Requirement: Additional coursework to strengthen writing skills
Liberal Arts Requirement (13 courses total): Distributed across six different areas of study including: Humanities and Creative Arts (HCA)
International Cultures (INT)
History and Culture of the United States (US)
Mathematics and Natural Sciences (MNS)
Social and Behavioral Sciences (SBS)
Perspectives (P)
Major Requirement: Students must declare a major and complete its specific coursework
AXLE ensures that students develop critical thinking, communication skills, and interdisciplinary knowledge, which are essential for any career path​."
What study abroad opportunities are available for Vanderbilt undergraduates?,"Vanderbilt offers a wide range of study abroad opportunities through its Global Education Office (GEO). These include:

Vanderbilt-Approved Programs: Students can choose from over 120 programs in 40+ countries
Semester, Yearlong, and Summer Programs: Options for different durations to fit student schedules
Immersion Vanderbilt: Some programs align with the Immersion requirement, allowing students to gain international experience as part of their academic program
Financial Aid and Credit Transfer: Many programs allow students to use their Vanderbilt financial aid, and courses often count toward their degree requirements
Students interested in studying abroad should meet with an academic adviser and GEO staff to ensure credits align with their major or minor​."
"What is Immersion Vanderbilt, and how does it impact graduation requirements?","Immersion Vanderbilt is an undergraduate program designed to enhance learning through hands-on, experiential opportunities. It is a graduation requirement for all Vanderbilt undergraduates, meaning each student must complete at least one immersive experience followed by a culminating project.

To fulfill the Immersion Vanderbilt requirement, students must engage in an immersive experience in one of six pathways:

Research
Study Abroad
Innovation, Arts, & Design
Civic & Community Engagement
Leadership & Professional Development
Internships

Each immersive experience must be mentored by a faculty or staff member and should encourage reflection on the student’s learning and goals.

After completing an immersive experience, students develop a culminating project, which can take various forms, such as presentations, performances, prototypes, or written reports. While students are encouraged to base their culminating project on their immersive experience, it is not required.

Once the faculty adviser approves the culminating project, the Immersion Vanderbilt requirement is marked as complete, and the student’s degree audit and transcript are updated with the project title and pathway.

For more details, visit the Immersion Vanderbilt site at https://www.vanderbilt.edu/immersion/."
What study abroad opportunities are available for Vanderbilt undergraduates?,"Vanderbilt offers a wide range of study abroad opportunities through its Global Education Office (GEO). These include:

Vanderbilt-Approved Programs: Students can choose from over 120 programs in 40+ countries
Semester, Yearlong, and Summer Programs: Options for different durations to fit student schedules
Immersion Vanderbilt: Some programs align with the Immersion requirement, allowing students to gain international experience as part of their academic program
Financial Aid and Credit Transfer: Many programs allow students to use their Vanderbilt financial aid, and courses often count toward their degree requirements
Students interested in studying abroad should meet with an academic adviser and GEO staff to ensure credits align with their major or minor​."
Are there prerequisites for the Business Minor? ,"Three of the five mandatory courses in the undergraduate business minor require one of the following prerequisites, which may be completed in any order or simultaneously; Advanced Placement (AP) or International Baccalaureate (IB) credit may be used to satisfy the Microeconomics and Statistics prerequisites.  1. Introductory Microeconomics: ECON 1020 2. Introductory Statistics: One of BME 2400, ECON 1500, ECON 1510, MATH 1010, MATH 1011, MATH 2810, MATH 2820, MATH 2821, PSY 2100, PSY-PC 2110, or SOC 2100"
Is it easy to double major in Computer Science and Mathematics at Vanderbilt?,"Yes, it is relatively feasible because both majors share a strong foundation in mathematics. Overlapping requirements like calculus, linear algebra, and discrete math help streamline the double major."
"What kind of student might benefit most from the Legal Studies minor at Vanderbilt, and how does it differ from a traditional pre-law track?","Students curious about law who want an academic edge before law school will benefit the most from this minor. Unlike informal pre-law advising, this minor offers student the opportunity to take actual law school courses and structured exposure to legal thinking."
What are the trade-offs between participating in a study abroad program versus an internship for fulfilling the Immersion Vanderbilt requirement?,Study abroad offers cultural immersion and global perspective; internships provide career experience and networking. Each has unique benefits depending on a student's goals and can fulfill the immersion requirement.
Can I take BUS 1100 and BUS 1300 at the same time?,"Yes, students may concurrently enroll in two of the five required half-semester courses for the Business minor, including BUS 1100 and BUS 1300."
