Subject Area,Course Name,Course Description
A&S College Core,CORE1010 - Being Human,"This course invites you to launch your undergraduate career with some of the biggest questions humans have asked: Who are we, and why are we here? To begin, we will ask: why are we here at Vanderbilt, and what is the purpose of a college education? We will then examine the varied ways that people in different times, places, and circumstances have contemplated the meaning of humanity-raising questions about social ﬂourishing and responsibility; about solidarity, hierarchy, and difference; and about the very boundaries of ""the human."" Incoming Arts and Science first-year students will continue with CORE 1020 in the spring.  Limited to incoming first-year students only.  Offered on a graded basis only. [3] (HCA)"
A&S College Core,"CORE1020 - Science, Technology, Values","Living and flourishing in a scientific, technological civilization, ranging from ancient considerations of science to modern global era. Survey of perspectives from natural sciences, social sciences, and humanities. Prerequisite: CORE 1010. [3] (P)"
A&S College Core,CORE2500 - Exploratory Core - Special Topic,"Courses in this series explore big questions and complex problems from a variety of disciplinary perspectives. As part of the new A&S College Core, Exploratory Core courses are designed for the second year, are broad in topic, and help students discover paths to new interests and more specialized study. [3]"
African American Diaspora Studies,AADS1001 - Commons iSeminar,Topics vary. Open only to first-year students. General Elective credit only. [1] (No AXLE Credit)
African American Diaspora Studies,AADS1010 - Introduction to African American and Diaspora Studies,"Foundations of African American culture from ancient African history and through contemporary issues in the African American experience and the larger diaspora. The characteristics, developments, and dynamics of diaspora culture in the Americas, with a particular focus on the United States. [3] (P)"
African American Diaspora Studies,AADS1016 - Race Matters,"Race and racism in the United States and their impact on democratic practices. General intellectual and cultural manifestations of the significance of race and how it influences democratic reform: racial preferences, the prison industrial complex, national security, HIV/AIDS, and elections. [3] (US)"
African American Diaspora Studies,AADS1108 - Making of the African Diaspora,"1790 to the mid-twentieth century. Slave politics and abolition, the meaning of freedom after emancipation, and black workers' struggle for democracy and citizenship. Resistance to empire and colonialism. Migration, race and color ideology, religion, and culture. [3] (P)"
African American Diaspora Studies,AADS1111 - First-Year Writing Seminar,"Independent learning and inquiry in an environment in which students can express knowledge and defend opinions through intensive class discussion, oral presentations, and written expression. May be repeated for credit once if there is no duplication of topic, but students may earn only up to 3 credits in any 1111 course per semester of enrollment. [3; maximum of 6 credits total for all semesters of 1111] (AXLE credit category varies by section)"
African American Diaspora Studies,AADS1204 - Diaspora Feminisms,Introduction to feminism in multiple diasporic places and communities. Comparison of black feminisms across time and space. [3] (INT)
African American Diaspora Studies,AADS1404 - Comparative Black Male Writers,"Diasporic black male fiction and poetry writers. Themes of sexuality and sexual identity, exile, home, violence, color, and class. [3] (HCA)"
African American Diaspora Studies,AADS1506 - Reel to Real: Film Aesthetics and Representation,"Oppositional cinematic practices of black filmmakers. Hollywood representations of blacks. The theoretical language of film criticism, styles, genres, periods. [3] (P)"
African American Diaspora Studies,"AADS1706 - Capoeira: Afro-Brazilian Race, Culture, and Expression","Origins of an Afro-Brazilian martial art form. Influence on Brazilian and world culture in the areas of religion, dance, and music. Development as a social protest movement. Intersections of race, gender, class, power, and national identity. [3] (INT)"
African American Diaspora Studies,"AADS1716 - The African City: Urban Landscapes on the Page, Screen, and Canvas","Study of African cities north and south of the Sahara through literature, visual and popular cultures, and history. Impact of colonial and postcolonial practices and policies on urban landscapes, urban relationships, and resources. Gendered experiences of the city in fiction, non-fiction, music, art, and film. [3] INT"
African American Diaspora Studies,"AADS1808 - On Whiteness: Whiteness Studies, Race, and Identity","Key texts and thinkers on whiteness and white identity. Whiteness as a historical construct. Unpacking the phrase ""white privilege."" [3] (US)"
African American Diaspora Studies,"AADS1906 - Curating Black Lives: Imagination, Art, and Global Social Change","Visual arts, social change, and black social movements. Aesthetics, value, and social impact of art and social change efforts. Role of the arts in shaping collective black identity and historical memory of national and global social movements. [3] (INT) (CORE A)"
African American Diaspora Studies,AADS2104 - Popular Culture and Black Sexual Politics,"Constructed images of black masculinity, femininity, and sexuality in popular culture. Social political hierarchies in society at-large. [3] (HCA)"
African American Diaspora Studies,AADS2106 - African Diaspora: A Problem for Thought,"Beginning with the slave trade in Europe to the formation of slave colonies in the Americas. Meaning of diaspora for African subjects in the 18th-19th centuries, and challenges to racism and colonialism in the African Diaspora in the 20th century. [3] (P)"
African American Diaspora Studies,AADS2148 - Blacks in Latin America and the Caribbean,Distinctive cultural forms and patterns in the Caribbean basin and Latin America from the sixteenth century to the present. Diverse origins of culture. Slave society's impact on cultural production. [3] (INT)
African American Diaspora Studies,AADS2166 - African American Influences on Country Music,"African and African American aesthetics, instruments, and people. Southern rural folk music in the United States. [3] (US)"
African American Diaspora Studies,AADS2168 - Black Migrations in the African Diaspora,"The impact of migration in a post-civil rights and post-colonial world. Political tensions, identity politics, and solidarity. Comparative anthropological and sociological narratives on race, culture, and ethnicity. Countries and regions include Democratic Republic of Congo, France, Ghana, Liberia, Tanzania, parts of Asia, and the U.S. [3] (INT)"
African American Diaspora Studies,AADS2178 - Global Africa,"The globalization of Africa within the context of Arab and European expansion. Historical flashpoints and contemporary events. The invention of Africa in literary and political discourses. The geopolitics of aid and development. Africa's relationship with the African diaspora, including modern migrations and debates on the racial and geographic divide between Arab regions north and south of the Sahara. [3] (INT)"
African American Diaspora Studies,AADS2204 - Black Women and the Politics of Blackness and Beauty,"Competing and contested meanings of beauty and race in the post-black society. The role of traditional and new media in self-expressions and self-understandings of color, body image, hair, and relationships. [3] (HCA)"
African American Diaspora Studies,AADS2214 - History and Myth: Black Women in the United States,"Complexities of being black and female in the history of the United States. Interrogation of racism, class, sexuality, and sexism. Black women's multifaceted, diverse community roles. [3] (HCA)"
African American Diaspora Studies,AADS2294 - Black Paris - Paris Noir: The African Diaspora and the City of Light,"The lived experiences, tensions, belonging, and representations of people of African descent who self-identify and are identified as Black or Noir in Paris, France, from the interwar years to the present. Diversity, intergroup relations, and race beyond the United States. Not open to students who have earned credit for AADS 1111 Section 05 without permission. Total credit for this course and AADS 1111 Section 05 will not exceed 3 credit hours. Credit hours reduced from second course taken (or from test or transfer credit) as appropriate. [3] (INT)"
African American Diaspora Studies,AADS2294W - Black Paris,"Experiences, tensions, belonging, and representations of people of African descent who self-identify and are identified as Black or Noir in Paris, France; from the interwar years to the present. Diversity and intergroup relations. Not open to students who have earned credit for AADS 1111 Section 05. [3] (INT)"
